,start_time,end_time,note
0,28126,29662,69
1,28126,29662,57
2,28126,29662,57
3,46557,52702,73
4,60893,109022,76
5,74718,91102,73
6,91102,109022,69
7,109022,160734,71
8,125918,142814,68
9,142814,160734,64
10,160734,168926,74
11,168926,179677,73
12,181214,188894,71
13,181214,205278,61
14,189405,205278,69
15,205278,215006,68
16,205278,222686,57
17,215006,222686,69
18,222686,241118,73
19,222686,241118,64
20,241118,253406,71
21,258013,267742,73
22,271838,333790,76
23,288222,312286,73
24,314334,333790,69
25,333790,369630,73
26,353246,369630,69
27,370141,384990,73
28,370141,384990,66
29,384990,442334,81
30,405982,425438,78
31,425438,442334,75
32,442845,477662,75
33,460766,477662,71
34,477662,503262,69
35,477662,503262,75
36,507870,564190,83
37,524766,546270,68
38,546270,564190,64
39,564702,572382,81
40,572894,582110,80
41,582110,592350,78
42,582110,601054,73
43,592350,601054,76
44,601054,610782,75
45,601054,618974,71
46,610782,618974,76
47,618974,637918,69
48,618974,637918,78
49,638430,650718,81
50,638430,646622,66
51,655326,665566,71
52,655326,665566,75
53,674782,695262,76
54,674782,695262,64
55,715742,724446,61
56,734174,792030,64
57,755166,772062,69
58,755166,772062,57
59,755166,772062,61
60,772062,792030,61
61,772062,792030,73
62,772062,792030,57
63,792542,851422,59
64,811486,831966,76
65,811486,831966,64
66,811486,831966,56
67,831966,851422,52
68,831966,851422,68
69,831966,851422,80
70,851422,860638,62
71,861150,869342,61
72,869854,890334,49
73,869854,878558,59
74,869854,890334,81
75,869854,890334,69
76,878558,890334,57
77,890334,910302,45
78,890334,900574,56
79,890334,910302,85
80,890334,910302,73
81,900574,910302,57
82,910302,932830,76
83,910302,932830,61
84,910302,932830,88
85,910302,932830,40
86,933342,945630,59
87,953310,962014,61
88,971230,1034718,64
89,992222,1013214,69
90,992222,1013214,57
91,992222,1013214,61
92,1013214,1034718,61
93,1013214,1034718,73
94,1013214,1034718,57
95,1034718,1070558,61
96,1051102,1070558,61
97,1051102,1070558,57
98,1051102,1070558,73
99,1071070,1090014,61
100,1071070,1090014,81
101,1071070,1090014,54
102,1071070,1090014,69
103,1090014,1158110,69
104,1106910,1129950,54
105,1106910,1129950,75
106,1106910,1129950,63
107,1130462,1158110,66
108,1130462,1158110,78
109,1130462,1158110,51
110,1158110,1193438,63
111,1176542,1193438,66
112,1176542,1193438,78
113,1176542,1193438,47
114,1193950,1214942,63
115,1193950,1214942,83
116,1193950,1214942,45
117,1193950,1214942,71
118,1214942,1263582,71
119,1230814,1246686,44
120,1230814,1246686,76
121,1230814,1246686,64
122,1246686,1263582,68
123,1246686,1263582,80
124,1246686,1263582,40
125,1264094,1272286,69
126,1272286,1279966,68
127,1279966,1288670,66
128,1279966,1296862,80
129,1279966,1296862,68
130,1279966,1296862,49
131,1288670,1296862,64
132,1296862,1313758,47
133,1296862,1313758,85
134,1296862,1313758,73
135,1296862,1305566,63
136,1305566,1313758,64
137,1314270,1335262,66
